Mach	Beta	AoA	Force_X	Force_Y	Force_Z	CM_X	CM_Y	CM_Z	Cl	Cd	CM_Z_coeff
1.5	0	0	515.2144761904763	0.0152056095238095	-1.51433380952381	-0.0176983619047619	3.582141904761905	0.0020941142857142	4.026679047619048e-05	1.3643700000000003	1.7315190476190473e-06
1.5	0	1	516.7045	1005.2014042071428	-1.536217619047619	0.000772188095238	3.5983138095238094	1808.6015705857133	2.631380200092857	1.553159404761905	1.4954437986392854
1.5	0	3	519.6845476190476	3015.573801402381	-1.579985238095238	0.037713288095238	3.6306576190476183	5425.800523528569	7.894060066697618	1.9307382142857148	4.48632793287976
1.5	0	4	521.1745714285714	4020.76	-1.6018690476190471	0.056183838095238	3.646829523809523	7234.399999999997	10.525399999999998	2.1195276190476195	5.981769999999998
1.5	0	6	539.4288571428572	6153.210000000001	-1.9994897619047616	0.4913627047619046	4.107556428571428	11073.8	16.024	3.317838809523809	9.156384999999997
1.5	0	7	548.5559999999999	7219.435000000001	-2.1983001190476186	0.7089521380952379	4.337919880952381	12993.500000000004	18.77330000000001	3.916994404761904	10.743692499999996
1.5	0	9	568.1710357142857	9255.045000000002	-2.542317738095238	1.0463665357142855	4.689018452380952	16627.700000000004	23.935950000000005	5.4496273809523785	13.748649999999998
1.5	0	10	578.6589285714285	10224.430000000004	-2.687525	1.1661915	4.809753571428571	18342.200000000004	26.349300000000003	6.38310476190476	15.166299999999998
1.5	0	11	589.1468214285715	11193.815000000004	-2.832732261904761	1.2860164642857144	4.93048869047619	20056.700000000004	28.76265	7.316582142857142	16.583949999999998
1.5	0	12	599.6347142857144	12163.200000000004	-2.9779395238095234	1.405841428571429	5.051223809523809	21771.200000000004	31.176	8.250059523809522	18.0016
1.5	0	13	597.4235000000001	12977.075000000004	-3.258971309523809	1.504496904761905	5.294809404761905	23210.55	33.08655	9.377169642857142	19.1917
1.5	0	15	593.0010714285714	14604.825000000006	-3.821034880952381	1.7018078571428574	5.781980595238095	26089.249999999996	36.90765000000001	11.63138988095238	21.5719
1.5	0	16	590.7898571428572	15418.700000000006	-4.1020666666666665	1.8004633333333335	6.025566190476191	27528.599999999988	38.81820000000001	12.7585	22.762
1.5	0	17	582.3219523809523	16165.650000000003	-3.758746071428571	1.4150830714285716	5.304331547619048	28805.599999999988	40.43847500000001	14.083146428571428	23.817898809523808
1.5	0	18	573.8540476190476	16912.600000000002	-3.4154254761904754	1.0297028095238097	4.583096904761905	30082.599999999988	42.05875000000001	15.407792857142857	24.87379761904761
1.5	0	19	565.3861428571428	17659.550000000003	-3.0721048809523803	0.6443225476190477	3.861862261904762	31359.599999999988	43.67902500000001	16.732439285714285	25.929696428571415
1.5	0	20	556.9182380952379	18406.5	-2.7287842857142848	0.2589422857142857	3.1406276190476192	32636.599999999988	45.29930000000001	18.057085714285712	26.985595238095225
1.5	0	21	547.2412023809522	19076.01428571429	-3.5477402380952374	1.3164177857142856	3.668750119047619	33794.585714285706	46.586920238095246	19.53377976190476	27.94307499999999
